,Artist,Song,Lyrics,Genre,Charting Number
26,Halsey,Bad At Love,Got a boy back home in Michigan And he tastes like Jack when Im kissing him So I told him that I never really liked his friends Now hes gone and hes calling me a bitch again Theres a guy that lives in the garden state And he told me that wed make it til we graduate So I told him that the music would be worth the wait But he wants me in the kitchen with a dinner plate  I believe I believe I believe I believe That were meant to be But jealousy jealousy jealousy jealousy Get the best of me Look I dont mean to frustrate But I always make the same mistakes Always make the same mistakes cause  Im bad at love But you cant blame me for tryin You know Id be lyin sayin You were the one That could finally fix me Lookin at my history Im bad at love  Got a girl with California eyes And I thought that she could really be the one this time But I never got the chance to make her mine Because she fell in love with little thin white lines London girl with an attitude We never told no one but we look so cute Both got way better things to do But I always think about her when Im riding through  I believe I believe I believe I believe That Im in too deep And jealousy jealousy jealousy jealousy Get the best in me Look I dont mean to frustrate But I always make the same mistakes Always make the same mistakes cause  Im bad at love But you cant blame me for tryin You know Id be lyin sayin You were the one That could finally fix me Lookin at my history Im bad at love Oh you know you know you know you know Im bad at love Im bad at love  I know that youre afraid Im gonna walk away Each time the feeling fades Each time the feeling fades I know that youre afraid Im gonna walk away Each time the feeling fades  You know Im bad at love But you cant blame me for tryin You know Id be lyin sayin You were the one That could finally fix me Lookin at my history  Im bad at love Oh you know you know you know you know Im bad at love,Pop,27
27,Tyga,Taste, DA  Slide on a pimp game with my pinky rang Lotta gang lotta bitches and a icy chain Why you claim that you rich Thats a false claim I be straight to the whip no baggage claim Whole lotta styles cant even pronounce the name You dont even got no style see you on my Instagram I be rockin it like its fresh out the pan Only when Im takin pics Im the middleman Walk talk it like a boss I just lift the hand 3 million cash call me rain man Money like a shower thats my rain dance And we all in black like its gangland Say the wrong word you be hangman Watch me stick to your bitch like a spray tan Aw Mr What Kind Of Car You In In the city love my name nigga I aint gotta say it  Taste taste she can get a taste Taste taste she can get a taste Taste taste fuck what a nigga say Its all the same like MaryKate Taste taste she can get a taste Taste taste let you get a taste Taste taste do you love the taste Yeah thats cool but he aint like me  Lotta girls like me niggas wanna fight me Nigga get yo ass checked like a fuckin Nike Me not icey thats unlikely And she gon suck me like a fuckin HiC Aw chains on the neck for the whole team And I feel like Gucci with the ice cream And my bitch want the Fenty not the Maybelline Im the black JB the way these bitches scream Make these bitches scream Pretty little thing Like my nigga AE say yadadamean  Taste taste she can get a taste Taste taste she can get a taste Taste taste fuck what a nigga say Its all the same like MaryKate Taste taste she can get a taste Taste taste let you get a taste Taste taste do you love the taste Yeah thats cool  Offset Yeah Ima put the drip on the plate drip drip Diamond iceglazed niggas imitate ice ice Aye aye feed me grapes Maybach with the drac grape Slow pace in the Wraith got this shit from bae Diamonds up to par the cookie hittin hard hard The Rari sit in park Im at it on Mars Mars Shotgun shells we gon always hit the target blaow Popcorn bitch shell poppin out the cartridge pop it 3400 Nawfside Charles Barkley 488 Ferrari Make her get on top of me and ride me like a Harley She wanna keep me company and never want depart me no Depart me Yeah fishtail in the parking lot skrt skrt I dont kick it with these niggas cause they talk about cha And I got the fire dont make me spark it out cha Keep it in my back pocket like its a wallet Like the way she suck it suck it like a Jolly whoa Stack it up and put it with the whole project racks And she got the Patek on water moccasin Im rich in real life I get that profit copy  Taste taste she can get a taste Taste taste let you get a taste Taste taste do you love the taste Yeah thats cool but he aint like me  Taste taste LA you can get a taste Taste taste Miami you can get a taste Taste taste Oakland you can get a taste Taste taste New York do you love the taste Taste taste ChiTown you can get a taste Taste taste Houston you can get a taste Taste taste Portland you can get a taste Taste taste overseas let them bitches taste Taste taste she can get a taste Taste taste she can get a taste Taste taste do you love the taste Taste taste worldwide they gon get a taste,Rap,28
28,NF,Let You Down,Feels like were on the edge right now I wish that I could say Im proud Im sorry that I let you down Let you down All these voices in my head get loud I wish that I could shut them out Im sorry that I let you down Lllet you down  Yeah I guess Im a disappointment Doing everything I can I dont wanna make you disappointed Its annoying I just wanna make you feel like everything I ever do wasnt ever tryna make an issue for you But I guess the more you Thought about everything you were never even wrong in the first place right Yeah Ima just ignore you Walking towards you with my head down lookin at the ground Im embarrassed for you Paranoia what did I do wrong this time Thats parents for you Very loyal Shoulda had my back but you put a knife in it my hands are full What else should I carry for you I cared for you but  Feels like were on the edge right now I wish that I could say Im proud Im sorry that I let you down Lllet you down All these voices in my head get loud I wish that I could shut them out Im sorry that I let you down Lllet you down  Yeah you dont wanna make this work You just wanna make this worse Want me to listen to you But you dont ever hear my words You dont wanna know my hurt yet Let me guess you want an apology probably How can we keep going at a rate like this We cant so I guess Ima have to leave Please dont come after me I just wanna be alone right now I dont really wanna think at all Go ahead just drink it off Both know youre gonna call tomorrow like nothings wrong Aint that what you always do I feel like every time I talk to you youre in an awful mood What else can I offer you Theres nothing left right now I gave it all to you  Feels like were on the edge right now I wish that I could say Im proud Im sorry that I let you down Lllet you down All these voices in my head get loud I wish that I could shut them out Im sorry that I let you down Lllet you down  Yeah dont talk down to me Thats not gonna work now Packed all my clothes and I moved out I dont even wanna go to your house Everytime I sit on that couch I feel like you lecture me Eventually I bet that we Could have made this work And probably woulda figured things out But I guess Im a letdown But its cool I checked out Oh you wanna be friends now Okay lets put my fake face on and pretend now Sit around and talk about the good times That didnt even happen I mean why are you laughing Must have missed that joke Let me see if I can find a reaction No but at least youre happy  Feels like were on the edge right now I wish that I could say Im proud Im sorry that I let you down Oh I let you down All these voices in my head get loud And I wish that I could shut them out Im sorry that I let you down Oh let you down  Im sorry Im so sorry now Im sorry That I let you down,Rap,29
29,G-Eazy,No Limit, If I hit it one time Ima pipe her If I hit it two times then I like her If I fuck three times Ima wife her It aint safe for the black or the white girls It aint safe it aint safe it aint safe it aint safe Tell your man pipe up nigga pipe up Hunnit bands from the safe in your face whatd you say Money dance turn this shit into a nightclub  Aye yeah fuck with me and get some money Yeah aye fuck with me and get some money Aye yeah fuck with me and get some money Aye yeah fuck with G and get some money  No limit Im a fucking soldier aye Always lit yeah Im never sober Its been three days in a row your bitch coming over Told that bitch to kick rocks she act like its a boulder aye Rari shopping let me cop it Always poppin hella poppin Shes a bopper homie hoppin Aint no stopping album dropping Got the city on fire Bitch lying on me like she tired I might have to fuck around and call Kamaiyah Hoe stirring up the pot jambalaya Young Gerald  If I hit it one time Ima pipe her If I hit it two times then I like her If I fuck three times Ima wife her It aint safe for the black or the white girls It aint safe it aint safe it aint safe it aint safe Tell your man pipe up nigga pipe up Hunnit bands from the safe in your face whatd you say Money dance turn this shit into a nightclub  Fuck him then I get some money yeah Fuck him then I get some money yeah Fuck him then I get some money yeah Fuck him then I get some money  I need tongue I need face give me brain concentrate Apple phone Prada case kill a weave rock a lace Fuck the Moe buy the Ace fuck the Ghost drive the Wraith Get some money flood the Rollie fuck the Rollie Patek face My career takin off these hoes jogging in place Swear these hoes run they mouth how these hoes out of shape Can you stop with all the subs Bitch I aint Jared If you really want some smoke you can pull up you can get it Grab a hand full of braids make your nigga eat me out Put a white boy on Sazn I might turn GEazy out Keep it G from the club til the end from the spot You know me Cardi B pussy poppin on the charts ah ah  If I hit it one time Ima pipe her If I hit it two times then I like her If I fuck three times Ima wife her It aint safe for the black or the white girls It aint safe it aint safe it aint safe it aint safe Tell your man pipe up nigga pipe up Hunnit bands from the safe in your face whatd you say Money dance turn this shit into a nightclub  Aye yeah fuck with me and get some money Yeah aye fuck with me and get some money Aye yeah fuck with me and get some money Aye yeah fuck with G and get some money  Yeah It aint nice fam You can study where Im from on my Viceland This is nothing new to me this my life fam I can pull a million girls from a mic stand Pull one at my show cause I like fans Later on I got two in my night plans Man this year I had three hundred one night stands Keep a Costco pack of rubbers in my night stand Damn Daniel back again with the hah SaintLaurent Aye they send me product yuh its retarded Aye this was free aye bitch you bought it Bitch you on my dick aye bitch get off it  Hit it one time Ima pipe her If I hit it two times then I like her If I fuck three times Ima wife her It aint safe for the black or the white girls It aint safe it aint safe it aint safe it aint safe Tell your man pipe up nigga pipe up Hunnit bands from the safe in your face whatd you say Money dance turn this shit into a nightclub  Aye yeah fuck with me and get some money Yeah aye fuck with me and get some money Aye yeah fuck with me and get some money Aye yeah fuck with G and get some money,Rap,30
30,6ix9ine,FEFE, Its fuckin TR3YWAY Its King of New York lookin for the Queen Uh you got the right one Llet thesellet these bbbitches know nigga Queens Brooklyn brr ah Murda on the beat so its not nice  Pussy got that wet wet got that drip drip Got that super soaker hit that she a Fefe Her name Keke she eat my dick like its free free I dont even know like Why I did that I dont even know like Why I hit that All I know is that I just cant wife that Talk to her nice so she wont fight back Turn around and hit it from the back back back Bend her down then I make it clap clap clap  I dont really want no friends I dont really want no friends no  Draco got that kickback when I blow that they all do track They dont shoot back one shot close range red dot Head tight yeah I did that yeah I live that Call a Uber with my shooter with a Ruger we gon do ya Niggas say they killin people but I really fuckin do it  I dont really want no friends I dont really want no friends no  HeHe tryna 69 like Tekashi call him papi Word to AAP keep me Rocky Im from New York so Im cocky say he fuckin with my posse Copped me Khlo like Kardashi keep this pussy in Versace Said Im pretty like Tinashe Put it all up in his face did I catch a case Pussy game just caught a body but I never leave a trace Face is pretty ass for days I get chips I ask for Lays I just sit back and when he done I be like Yo howd it taste Yo howd it taste  I dont really want no friends I dont really want no friends no  Ayo Draco got that kickback When it kickback you cant get yo shit back in fact this that bitch That I hate small talk I dont fuck with chitchat AC just stopped workin so they hit me Told me bring my wrist back come through rockin fashions That got all these bitches like Yo whats that  I dont really want no friends I dont really want no friends no  Eeny meeny miny moe I catch a hoe right by her toe If she aint fuckin me and Nicki kick that ho right through the door TR3YWAY I dont really want no friends my old ho just bought this Benz Nicki just hopped in this shit now I wont see that bitch again Eeny meeny miny moe no I catch a ho right by her toe no If she aint fuckin me and Nicki no Kick that ho right through the door no TR3YWAY  Mmm Young Money Young Money bunny Colorful hair dont care I dont really want no friends I dont really want no friends no I dont really want no friends I dont really want no friends no Scum Gang,Rap,31
31,Dan + Shay,Tequila,I can still shut down a party I can hang with anybody I can drink whiskey and red wine Champagne all night Little scotch on the rocks and Im fine Im fine  But when I taste tequila baby I still see ya Cutting up the floor in a sorority TShirt The same one you wore when we were Sky high in Colorado your lips pressed against the bottle Swearing on a Bible baby Id never leave ya I remember how bad I need ya when I taste tequila When I taste tequila  I can kiss somebody brand new and not even think about you I can show up to the same bar Hear the same songs in my car Baby your memory it only hits me this hard  When I taste tequila baby I still see ya Cutting up the floor in a sorority tshirt The same one you wore when we were Sky high in Colorado your lips pressed against the bottle Swearing on a Bible baby Id never leave ya I remember how bad I need ya when I taste tequila When I taste tequila  I aint even drunk I aint even drunk And Im thinking How I need your love how I need your love Yeah it sinks in  When I taste tequila baby I still see ya Sorority tshirt the same one you wore when we were Sky high in Colorado your lips pressed against the bottle Swearing on a Bible baby Id never leave ya I remember how bad I need ya when I taste tequila When I taste tequila When I taste tequila When I taste tequila,Country,32
32,Portugal. The Man,Feel It Still,Cant keep my hands to myself Think Ill dust em off put em back up on the shelf In case my little baby girl is in need Am I coming out of left field  Ooh woo Im a rebel just for kicks now I been feeling it since 1966 now Might be over now but I feel it still Ooh woo Im a rebel just for kicks now Let me kick it like its 1986 now Might be over now but I feel it still  Got another mouth to feed Leave it with a baby sitter mama call the grave digger Gone with the fallen leaves Am I coming out of left field  Ooh woo Im a rebel just for kicks now I been feeling it since 1966 now Mightve had your fill but you feel it still Ooh woo Im a rebel just for kicks now Let me kick it like its 1986 now Might be over now but I feel it still  We could fight a war for peace Ooh woo Im a rebel just for kicks now Give in to that easy living Goodbye to my hopes and dreams Start flipping for my enemies We could wait until the walls come down Ooh woo Im a rebel just for kicks now Its time to give a little to the Kids in the middle but oh until it falls Wont bother me  Is it coming Is it coming Is it coming Is it coming Is it coming Is it coming back  Ooh woo Im a rebel just for kicks yeah Your love is an abyss for my heart to eclipse now Might be over now but I feel it still  Ooh woo Im a rebel just for kicks now Ive been feeling it since 1966 now Might be over now but I feel it still Ooh woo Im a rebel just for kicks now Let me kick it like its 1986 now Might be over now but I feel it still Mightve had your fill but I feel it still,Alternative,33
33,Migos,MotorSport, Yeah woo yeah skrrt MMMMurda  Motorsport yeah put that thing in sports skrrt skrrt Shawty bad bad pop her like a cork pop it You a dork never been a sport dork yeah Pull up woo woo jumpin out the court jump Cotton candy drink my cup tastes like the fair cotton Straight up there where we didnt take the stairs where Faced my fears fears gave my mama tears mama Shiftin gears shift on the Nawf get serious serious  Face all your fears then get at me Hit so many donuts on them backstreets Sit so high in the nosebleeds yeah Feel like I can fly yeah Xans Perky check yeah Bill Belichick Take the air out the ball just so I can flex Take the air out the mall walkin with the sacks Take the air out your broad hey now she cant go back Xans Perky check yeah Bill Belichick Take the air out the ball yeah just so I can flex Take the air out the mall hey walk in with the sacks Take the air out your broad woo woo woo E  Offset Uh the coupe came imported hey This seasons OffWhite come in snorted white Green Lamborghini a tortoise Lambo No human being Im immortal no Patek and AP full of water Patek Hundred K I spend on my seora racks My pinky on margarine butter margarine And my ears got McDonalds nuggets ayy Soon as I land on the Lear whew Piguets they wet tears guets 488 hit the gears 488 Suicide doors Britney Spears Im boujee so bitch dont get near boujee Criss Angel make dope disappear voil  Hit the gas it got flames out the rears skrrt Its a race to the bag get the mills hey  Ride the dick like a BMX No nigga wanna be my ex no I love when he go on tour Cause he cums more when I see him less I get up set off I turn Offset on I told him the other day Man we should sell that porn Yeah Cardi B Im back bitches I dont wanna hear Im actin different Same lips that be talkin bout me Is the same lips that be ass kissin These hoes aint what they say they are And their pussy stank they catfishin Same hoes that was sendin shots They reachin out like they back itchin Why would I hop in some beef why When I could just hop in a Porsche You heard she gon do what from who Thats not a reliable source no So tell me have you seen her Let me wrap my weave up Im the trap Selena Dame ms gasolina Skrrt  Motorsport yeah put that thing in sports skrrt skrrt Shawty bad bad pop her like a cork pop it You a dork never been a sport dork yeah Pull up woo woo jumpin out the court jump  Uh yo watch your man then you should watch your mouth Bitches is pressed administer mouth to mouth You see them stats you know what I am about I am the champ Im Iron Mike in a bout Attention Ima need you to face front You dont want smoke with me this is a laced blunt Raps Jackie Chan we aint pullin them fake stunts My crown wont fit on your bumass lace fronts uh You bitches catchin a fade shout out my nigga Lil Boosie All of your friendsll be dead you can get hit with that Uzi I call him Ricky he say he love me like Lucy Get you a straw nigga you know this pussy is juicy This Givenchy is custom made now you cant get it at Saks though I dont work in no office but they copyin and thats facts though I aint tryna be violent but if Nicki on it it slaps ho Get you lined for that paper like a loose leaf when that strap blow Im with a couple bad bitches thatll rip the party If Quavo the QB Im Nick Lombardi Pull up in the space coupe I done linked with Marty I can actually afford to get a pink Bugatti Hey yo Nick didnt you just do a hit with Gotti That too but my niggas send hits like Gotti Its a wrap like the things on the head of a Saudi Bitch you my son go and sit on the potty rrrr  Brand new Chanels Chanels I scuffed em runnin from 12 12 Aint make no commitment with none of you bitches Cause money is treatin me well uh uh If Nicki should show me her titty Right hand on the Bible I swear I wont tell swear If I get to play with that kitty I wonder how many platinums we gon sell albums Pop a Perc and catch a feel I pop one Now I cannot feel the wheel whoa My chest bad give me chills And the left hand on Richard Mille ice Not the watch but the price on the ice If you dont know what that is huh Motorsport motorville Abort the mission thats a kill pew pew brrr  Motorsport yeah put that thing in sports skrrt skrrt Shawty bad bad pop her like a cork pop it You a dork never been a sport dork yeah Pull up woo woo jumpin out the court jump Cotton candy drink my cup tastes like the fair cotton Straight up there where we didnt take the stairs where Faced my fears fears gave my mama tears mama Shiftin gears shift on the Nawf get serious serious  Girl yeah yeah I wish my grandma could see me grandma Take away pain aint easy pain Thats why I fire up a bleezy fire Niggas not cappin this season,Rap,34
34,Lauv,I Like Me Better,To be young and in love in New York City To not know who I am but still know that Im good long as youre here with me To be drunk and in love in New York City Midnight into morning coffee Burning through the hours talking  Damn  I like me better when Im with you I like me better when Im with you I knew from the first time Id stay for a long time Cause I like me better when I like me better when Im with you  I dont know what it is but I got that feeling Waking up in this bed next to you swear the roomyeahit got no ceiling If we lay let the day just pass us by I might get to too much talking I might have to tell you something  Damn  I like me better when Im with you I like me better when Im with you I knew from the first time Id stay for a long time Cause I like me better when I like me better when Im with you  Stay awhile stay awhile Stay here with me Stay awhile stay awhile oh Stay awhile stay awhile Stay here with me Right here with me Yeah yeah  I like me better when Im with you yes I do yes I do babe I like me better when Im with you I knew from the first time Id stay for a long time Cause I like me better when I like me better when Im with you  I like me I like me Look who you made me made me oh no Better when  I like me better when Im with you,Pop,35
35,5 Seconds Of Summer,Youngblood,Remember the words you told me love me till the day I die Surrender my everything cause you made me believe youre mine Yeah you used to call me baby now youre calling me by name Takes one to know one yeah you beat me at my own damn game  You push and you push and Im pulling away pulling away from you I give and I give and I give and you take give and you take  Youngblood Say you want me say you want me out of your life And Im just a dead man walking tonight But you need it yeah you need it all of the time yeah ooh ooh ooh Youngblood Say you want me say you want me back in your life So Im just a dead man crawling tonight Cause I need it yeah I need it all of the time yeah ooh ooh ooh  Lately our conversations end like its the last goodbye Then one of us gets too drunk and calls about a hundred times So who you been calling baby Nobody could take my place When youre looking at those strangers hope to God you see my face  Youngblood Say you want me say you want me out of your life And Im just a dead man walking tonight But you need it yeah you need it all of the time yeah ooh ooh ooh Youngblood Say you want me say you want me back in your life So Im just a dead man crawling tonight Cause I need it yeah I need it all of the time yeah ooh ooh ooh  You push and you push and Im pulling away pulling away from you I give and I give and I give and you take give and you take Youre running around and Im running away running away from you Mmm from you  Youngblood Say you want me say you want me out of your life And Im just a dead man walking tonight But you need it yeah you need it all of the time yeah ooh ooh ooh Youngblood Say you want me say you want me back in your life So Im just a dead man crawling tonight Cause I need it yeah I need it all of the time yeah ooh ooh ooh  You push and you push and Im pulling away pulling away from you I give and I give and I give and you take give and you take  Youngblood Say you want me say you want me out of your life And Im just a dead man walking tonight,Pop,36
36,Imagine Dragons,Whatever It Takes,Falling too fast to prepare for this Tripping in the world could be dangerous Everybody circling is vulturous Negative nepotist  Everybody waiting for the fall of man Everybody praying for the end of times Everybody hoping they could be the one I was born to run I was born for this  Whip whip Run me like a racehorse Pull me like a ripcord Break me down and build me up I wanna be the slip slip Word upon your lip lip Letter that you rip rip Break me down and build me up  Whatever it takes Cause I love the adrenaline in my veins I do whatever it takes Cause I love how it feels when I break the chains Whatever it takes Yeah take me to the top Im ready for Whatever it takes Cause I love the adrenaline in my veins I do what it takes  Always had a fear of being typical Looking at my body feeling miserable Always hanging on to the visual I wanna be invisible  Looking at my years like a martyrdom Everybody needs to be a part of them Never be enough Im the prodigal son I was born to run I was born for this  Whip whip Run me like a racehorse Pull me like a ripcord Break me down and build me up I wanna be the slip slip Word upon your lip lip Letter that you rip rip Break me down and build me up  Whatever it takes Cause I love the adrenaline in my veins I do whatever it takes Cause I love how it feels when I break the chains Whatever it takes Yeah take me to the top Im ready for Whatever it takes Cause I love the adrenaline in my veins I do what it takes  Hypocritical egotistical Dont wanna be the parenthetical hypothetical Working hard on something that Im proud of out of the box An epoxy to the world and the vision weve lost Im an apostrophe Im just a symbol to remind you that theres more to see Im just a product of the system of catastrophe And yet a masterpiece and yet Im halfdiseased And when I am deceased At least Ill go down to the grave and die happily And leave the body and my soul to be a part of thee I do what it takes  Whatever it takes Cause I love the adrenaline in my veins I do whatever it takes Cause I love how it feels when I break the chains Whatever it takes Yeah take me to the top Im ready for Whatever it takes Cause I love the adrenaline in my veins I do what it takes,Alternative,37
37,21 Savage,Ric Flair Drip,Bijan 4 The 1 Time Metro Boomin want some more nigga hey  Going to the jeweler bust the AP yeah bust it Slide on the water like a jetski yeah woo slide Im tryna fuck you and your bestie yeah hey Chopper with the scope so do not test me drrt yeah drrt Ric Flair drip go woo on a bitch woo Fiftyseven ninety split the coupe on my wrist ice Multimillion dollar Im a fool with the hits ay Hop up in the Lamb and drop the roof show the tits skrt  Poppin but you really not gon shoot pop Ninety pointers down my diamonds look like hula hoops ninety Hopping in my Bentayga and her seat is a masseuse hey Balenciaga check my posture Valentino boots oooo Its the Boominati way a lotta Lambs a lotta Wraiths Boominati Never hesitate to give a nigga yellow tape grrt Aint worried bout the bag cause the cash accumulatin bags Soon as we came in the game all these niggas they imitate it hey Put my mind on it then I put my grind on it grind Put the iron on him if a nigga my opponent iron My car fivehundred and I dont put no miles on it hoe I was runnin round homie with fivehundred thou on me hoe  Going to the jeweler bust the AP yeah bust it Slide on the water like a jetski yeah woo slide Im tryna fuck you and your bestie yeah hey Chopper with the scope so do not test me drrt yeah drrt Ric Flair drip go woo on a bitch woo Fiftyseven ninety split the coupe on my wrist ice Multimillion dollar Im a fool with the hits ay Hop up in the Lamb and drop the roof show the tits Offset  Twist my fingers got the gang with me gang with me Bought my first Patek it got some rain on it Patek Nigga we used to kick it how you hatin on me haha Hop in the Bentley coupe and blow the brains out it skrrt We not the same my nigga My nigga we from the north division north nawf Amateur brain yea we bought ya just like its an auction aint it hey Beat the chopper hundred round total like its car collision brrtbrrt I made that shit mandatory that means I had to get it hey My shooter keep begging please he ready to wack a nigga please please I gave a nigga a diamond I had to cap a nigga woo Im giving your hoe away like she a raffle nigga here here We get at it then we gone pray with the pastors scriptures hey  Going to the jeweler bust the AP yeah bust it Slide on the water like a jetski yeah woo slide Im tryna fuck you and your bestie yeah hey Chopper with the scope so do not test me drrt yeah drrt Ric Flair drip go woo on a bitch woo Fiftyseven ninety split the coupe on my wrist ice Multimillion dollar Im a fool with the hits ay Hop up in the Lamb and drop the roof show the tits skrt Going to the jeweler bust the AP yeah bust it Slide on the water like a jetski yeah woo slide Im tryna fuck you and your bestie yeah hey Chopper with the scope so do not test me drrt yeah drrt Ric Flair drip go woo on a bitch woo Fiftyseven ninety split the coupe on my wrist ice Multimillion dollar Im a fool with the hits ay Hop up in the Lamb and drop the roof show the tits skrt,Rap,38
38,Post Malone,I Fall Apart,Ooh I fall apart Ooh yeah mmm  She told me that Im not enough yeah And she left me with a broken heart yeah She fooled me twice and its all my fault yeah She cut too deep now she left me scarred yeah Now theres so many thoughts goin through my brain yeah And now Im takin these shots like its Novocaine yeah  Ooh I fall apart Down to my core Ooh I fall apart Down to my core Ooh didnt know it before Surprised when you caught me off guard All this damn jewelry I bought You was my shorty I thought  Never caught a feelin this hard Harder than the liquor I pour Tell me you dont want me no more But I cant let go Everybody told me so Feelin like I sold my soul Devil in the form of a whore Devil in the form of a whore You said it No you said it No you said that shit Wed be together  Ooh I fall apart Down to my core Ooh I fall apart Down to my core Ooh didnt know it before Surprised when you caught me off guard All this damn jewelry I bought You was my shorty I thought  Ice keep pourin and the drink keep flowin Try to brush it off but it keep on goin Covered in scars and I cant help showin Whippin in the foreign and the tears keep blowin Ice keep droppin and the drink keep flowin Try to brush it off but it keep on goin All these scars cant help from showin Whippin in the foreign and the tears keep blowin yeah  Ooh I fall apart Down to my core Ooh I fall apart Down to my core Ooh didnt know it before Surprised when you caught me off guard All this damn jewelry I bought You was my shorty I thought,R&B,39
39,The Weeknd,Pray For Me,Ooh ooh ooh ooh  Im always ready for a war again Go down that road again Its all the same Im always ready to take a life again You know Ill ride again Its all the same ooh ooh ooh Tell me whos gon save me from myself When this life is all I know Tell me whos gon save me from this hell Without you Im all alone  Who gon pray for me Take my pain for me Save my soul for me Cause Im alone you see If Im gon die for you If Im gon kill for you Then I spilled this blood for you hey  I fight the world I fight you I fight myself I fight God just tell me how many burdens left I fight pain and hurricanes today I wept Im tryna fight back tears flood on my doorsteps Life a livin hell puddles of blood in the streets Shooters on top of the building government aid aint relief Earthquake the body dropped the ground breaks The poor run with smoke lungs and Scarface Who need a hero Hero You need a hero look in the mirror there go your hero Who on the front lines at ground zero Hero My heart dont skip a beat even when hard times bumps the needle Mass destruction and mass corruption The souls of sufferin men Clutchin on deaf ears again rapture is comin Its all prophecy and if I gotta be sacrificed for the greater good Then thats what it gotta be  Who gon pray for me Take my pain for me Save my soul for me Cause Im alone you see If Im gon die for you If Im gon kill for you Then I spilled this blood for you hey  Hey hey hey hey Hey hey hey hey  Who gon pray for me Take my pain for me Save my soul for me Cause Im alone you see If Im gon die for you If Im gon kill for you Then I spilled this blood for you hey  Just in case my faith go Ill live by my own law Ill live by my own law Ill live by my own Just in case my faith go Ill live by my own law Ill live by my own law Ill live by my own,Rap,40
40,Selena Gomez,Back To You,Took you like a shot Thought that I could chase you with the cold evening Let a couple years water down how Im feeling about you feeling about you And every time we talk Every single word builds up to this moment And I gotta convince myself I dont want it even though I do even though I do  You could break my heart in two But when it heals it beats for you I know its forward but its true I wanna hold you when Im not supposed to When Im lying close to someone else Youre stuck in my head and I cant get you out of it If I could do it all again I know Id go back to you I know Id go back to you I know Id go back to you  I never got it right Playing and replaying old conversations Overthinking every word and I hate it Cause its not me Cause its not me And whats the point in hiding And everybody knows that we got unfinished business And I regret it if I didnt say this isnt what it could be isnt what it could be  You could break my heart in two But when it heals it beats for you I know its forward but its true I wanna hold you when Im not supposed to When Im lying close to someone else Youre stuck in my head and I cant get you out of it If I could do it all again I know Id go back to you I know Id go back to you I know Id go back to you I go back to you I go back to you I know I said I wasnt sure But I go back to you I know Id go back to you  You could break my heart in two But when it heals it beats for you I know its forward but its true Wont lie Id go back to you You know my thoughts are running loose Its just a thing you make me do And I could fight but whats the use I know Id go back to you  I wanna hold you when Im not supposed to When Im lying close to someone else Youre stuck in my head and I cant get you out of it If I could do it all again I know Id go back to you Ill go back to you Ill go back to you I know Id go back to you Go back to you go back to you Go back to you go back to you Go back to you go back to you,Pop,41
